entrez_id,PredictionScore
51761,0.385
7763,0.385
9475,0.384
55184,0.383
164832,0.383
54165,0.383
7776,0.383
161436,0.383
55854,0.382
10675,0.382
55450,0.382
9185,0.382
57469,0.382
22823,0.381
9890,0.381
57620,0.381
142891,0.381
254048,0.381
145773,0.38
200407,0.38
23185,0.38
157,0.38
375790,0.38
817,0.38
23047,0.379
81553,0.379
22998,0.379
56884,0.379
55119,0.379
54870,0.379
11141,0.378
5100,0.378
889,0.378
80059,0.378
84067,0.378
26037,0.377
8019,0.377
1213,0.377
96764,0.377
2042,0.377
4301,0.377
55031,0.377
10983,0.376
23199,0.376
10369,0.376
135112,0.376
9079,0.376
124930,0.375
4952,0.375
4204,0.375
7425,0.375
79158,0.375
9467,0.375
23345,0.375
8106,0.375
9728,0.374
7976,0.374
221061,0.374
54511,0.374
10905,0.374
8534,0.373
153241,0.373
80128,0.373
51232,0.373
4761,0.373
10640,0.373
51230,0.373
55333,0.373
2036,0.372
23049,0.372
9663,0.372
114803,0.371
9881,0.371
54765,0.371
55079,0.371
57531,0.371
58155,0.371
9931,0.371
23329,0.371
2572,0.371
90249,0.37
1788,0.37
22885,0.37
27330,0.37
23505,0.37
284161,0.37
793,0.37
90957,0.37
54726,0.37
53335,0.37
57484,0.369
6671,0.369
11325,0.369
255967,0.369
57628,0.369
55187,0.369
54812,0.368
5791,0.368
1392,0.368
219749,0.368
904,0.368
22979,0.368
22903,0.368
22853,0.367
4217,0.367
26468,0.367
7586,0.367
4756,0.367
80823,0.367
8577,0.367
257160,0.367
26046,0.367
3739,0.367
92691,0.366
119,0.366
9110,0.366
57472,0.366
257218,0.366
150465,0.366
55608,0.366
25852,0.366
10085,0.365
2845,0.365
10368,0.365
2218,0.365
257397,0.365
139065,0.364
4082,0.364
1012,0.364
2675,0.364
146713,0.364
153090,0.363
9113,0.363
9568,0.363
149111,0.363
23451,0.363
8473,0.363
9201,0.363
9706,0.363
9723,0.362
85453,0.362
8036,0.362
11011,0.362
133746,0.362
50640,0.362
57512,0.362
10147,0.362
9806,0.362
153396,0.362
2043,0.361
22852,0.361
40,0.361
7871,0.361
5469,0.361
1951,0.361
114,0.36
10602,0.36
387104,0.36
6595,0.36
9392,0.36
57396,0.36
9856,0.36
7915,0.36
51760,0.36
3798,0.36
55117,0.36
2911,0.36
3746,0.359
8193,0.359
79712,0.359
863,0.359
8543,0.359
440145,0.359
6453,0.359
10116,0.359
8603,0.358
114804,0.358
54467,0.358
5926,0.358
64067,0.358
54664,0.358
7109,0.358
23269,0.357
51366,0.357
23383,0.357
57178,0.357
5936,0.357
901,0.357
222008,0.357
57338,0.357
53358,0.356
22839,0.356
26038,0.356
56995,0.356
152559,0.356
79848,0.356
84867,0.356
91801,0.356
23140,0.356
53944,0.355
5295,0.355
114818,0.355
64895,0.355
246175,0.355
91694,0.355
80816,0.355
57534,0.355
55061,0.355
65125,0.355
2047,0.355
57337,0.354
148534,0.354
55219,0.354
6867,0.354
81603,0.354
57600,0.354
9774,0.354
170506,0.354
9486,0.354
91746,0.354
116984,0.353
783,0.353
30011,0.353
84623,0.353
7074,0.353
23008,0.353
3752,0.353
151126,0.353
23358,0.353
29966,0.352
8708,0.352
9355,0.352
23348,0.352
51617,0.352
90362,0.352
6497,0.352
55188,0.352
51320,0.352
66000,0.351
6594,0.351
152789,0.351
3131,0.351
8880,0.351
7321,0.351
5569,0.351
375056,0.351
23116,0.351
79872,0.35
147179,0.35
29123,0.35
57494,0.35
8924,0.35
4741,0.35
55209,0.35
84894,0.35
79698,0.349
79057,0.349
27439,0.349
9851,0.349
57162,0.349
23097,0.349
6457,0.349
84181,0.348
1821,0.348
22955,0.348
83988,0.348
868,0.348
79668,0.348
343450,0.348
203522,0.348
869,0.348
57683,0.347
260293,0.347
10180,0.347
8999,0.347
27324,0.347
400120,0.347
9615,0.346
91452,0.346
153222,0.346
9793,0.346
23085,0.345
3097,0.345
9858,0.345
747,0.345
64710,0.345
23542,0.344
9926,0.344
80204,0.344
10198,0.344
2290,0.344
26019,0.344
2258,0.343
23072,0.343
23114,0.343
51755,0.342
9990,0.342
115703,0.342
9063,0.342
1742,0.342
8573,0.342
7223,0.342
205717,0.342
118987,0.342
55015,0.342
51088,0.342
1960,0.341
64168,0.341
7786,0.341
867,0.341
85440,0.341
83698,0.341
55958,0.341
26750,0.34
2332,0.34
64327,0.34
2257,0.34
51062,0.34
11276,0.34
4763,0.34
25836,0.34
10097,0.34
2565,0.34
9715,0.34
196441,0.34
407738,0.339
91,0.339
26960,0.339
10270,0.339
23359,0.339
57553,0.339
30000,0.339
143686,0.338
607,0.338
108,0.338
3737,0.338
10529,0.338
687,0.338
2145,0.338
64145,0.337
57448,0.337
23152,0.337
51585,0.337
23769,0.337
55604,0.337
130026,0.337
23705,0.337
26999,0.337
1114,0.337
25782,0.337
10505,0.337
7091,0.336
63893,0.336
57348,0.336
6000,0.336
9024,0.336
3400,0.336
130074,0.336
54813,0.335
23092,0.335
123606,0.335
1690,0.335
146664,0.335
29951,0.335
2901,0.335
1121,0.335
1024,0.335
55790,0.335
54891,0.335
3192,0.335
23067,0.335
3786,0.335
54737,0.334
360023,0.334
57172,0.334
260425,0.334
8776,0.334
5453,0.333
8941,0.333
387597,0.333
5214,0.333
85397,0.333
54822,0.333
10513,0.333
4356,0.333
55749,0.333
3720,0.332
9737,0.332
80856,0.332
4675,0.332
266743,0.332
7073,0.332
388228,0.332
23281,0.332
338707,0.332
54629,0.331
153733,0.331
5803,0.331
54331,0.331
10444,0.331
7275,0.331
55632,0.331
65268,0.331
5813,0.331
9584,0.331
9782,0.331
115548,0.331
23233,0.331
23014,0.331
6873,0.331
134111,0.331
23428,0.33
65055,0.33
3708,0.33
57679,0.33
84295,0.33
282974,0.33
80333,0.33
55193,0.33
23030,0.33
4753,0.33
55553,0.33
4674,0.329
90317,0.329
401548,0.329
7174,0.329
57659,0.329
89970,0.329
4684,0.329
64506,0.328
23368,0.328
10427,0.328
8621,0.328
80012,0.328
4852,0.328
122830,0.328
64795,0.328
7175,0.328
64395,0.328
57699,0.327
10087,0.327
4774,0.327
79960,0.327
219771,0.327
1452,0.327
1804,0.327
7110,0.327
5455,0.326
5764,0.326
55681,0.326
5775,0.326
57631,0.326
129285,0.326
63876,0.326
7259,0.326
84078,0.326
6733,0.326
347731,0.326
1363,0.325
64478,0.325
7204,0.325
3742,0.325
25791,0.325
29106,0.325
552889,0.325
1183,0.324
26040,0.324
214,0.324
8848,0.324
59353,0.324
2583,0.324
347730,0.324
23291,0.324
53919,0.324
8541,0.324
8502,0.324
5463,0.324
140767,0.323
22858,0.323
5577,0.323
134353,0.323
23243,0.323
85300,0.323
26507,0.323
22865,0.323
22878,0.323
